0,Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary
29,EMP0000030,Kimberly Russo,Finance,Finance Manager,2021-08-15,"New Hollyhaven, Vietnam",4,4,Active,Remote,1508236
30,EMP0000031,Nathan Smith,IT,Software Engineer,2019-02-13,"Anthonyburgh, Bahamas",4,6,Active,On-site,1076433
31,EMP0000032,Jeffery Chapman,Sales,Account Manager,2020-10-21,"New Tyler, Kazakhstan",4,4,Active,On-site,512557
32,EMP0000033,Cristian Thomas,IT,IT Manager,2021-02-14,"North Markbury, San Marino",3,4,Active,Remote,2408177
33,EMP0000034,Steve Carlson,IT,Software Engineer,2020-04-25,"Grahamfurt, Jamaica",5,5,Terminated,On-site,1039192
34,EMP0000035,Kathleen Shields,IT,IT Manager,2023-07-26,"North Brianmouth, Zambia",1,2,Retired,On-site,2615626
35,EMP0000036,Amanda Mooney,IT,Data Analyst,2024-04-05,"Colehaven, Singapore",4,1,Active,Remote,511161
36,EMP0000037,Jennifer Conway,Marketing,SEO Specialist,2024-12-11,"South Madison, Nigeria",4,0,Active,Remote,814964
37,EMP0000038,Doris Lambert,HR,Talent Acquisition Specialist,2019-03-14,"Ayalafurt, Estonia",1,6,Active,On-site,892414
38,EMP0000039,Jeffrey Lucas,IT,Software Engineer,2021-10-20,"Thompsonport, Paraguay",1,3,Active,On-site,1054801
39,EMP0000040,Emily Hudson,Finance,Finance Manager,2021-05-25,"Ortizbury, Senegal",2,4,Resigned,Remote,1448066
40,EMP0000041,Vanessa Rodriguez,Sales,Sales Executive,2011-01-29,"West Paula, Nepal",2,14,Active,Remote,865319
41,EMP0000042,Justin Hendricks,IT,Software Engineer,2015-12-31,"Laurafort, Bahrain",1,9,Active,On-site,746812
42,EMP0000043,John Daniels,Marketing,Marketing Executive,2019-03-25,"East Charles, Qatar",4,6,Resigned,On-site,671963
43,EMP0000044,Sandra Wolf,R&D,Product Developer,2025-02-22,"Lake Jennifer, United States Minor Outlying Islands",3,0,Active,On-site,1033879
44,EMP0000045,Annette Mcdowell,Sales,Sales Executive,2017-12-08,"Lake Heather, Dominica",4,7,Resigned,On-site,845092
45,EMP0000046,James Miller,Marketing,SEO Specialist,2022-03-24,"Melissafurt, Brunei Darussalam",5,3,Active,Remote,768681
46,EMP0000047,Donna Estes,Operations,Operations Director,2011-06-15,"East Tina, China",2,14,Active,On-site,982133
47,EMP0000048,Tom Mills,HR,HR Executive,2024-01-31,"Johnsonside, Ghana",1,1,Active,Remote,565467
48,EMP0000049,Chad Newton,IT,DevOps Engineer,2015-10-15,"South Jerryhaven, Mongolia",3,9,Resigned,Remote,709525
49,EMP0000050,Gary Charles,Operations,Supply Chain Manager,2024-09-25,"Navarroberg, Switzerland",1,0,Active,On-site,459800
50,EMP0000051,Dylan Welch,Sales,Account Manager,2011-08-11,"West Kevinfurt, Jordan",4,14,Active,Remote,915341
51,EMP0000052,Kevin Johnson,Marketing,SEO Specialist,2017-05-14,"South Davidburgh, Kyrgyz Republic",2,8,Retired,Remote,997151
52,EMP0000053,Keith Diaz,HR,HR Executive,2022-06-08,"New Pamela, Tokelau",1,3,Active,On-site,327765
53,EMP0000054,Allison Williams,Sales,Sales Executive,2017-11-23,"Robertborough, Bolivia",2,7,Active,On-site,603678
54,EMP0000055,Jeffrey Schwartz,HR,Talent Acquisition Specialist,2024-04-12,"Isaiahport, Japan",3,1,Retired,Remote,949067
55,EMP0000056,Pamela Gross,IT,Software Engineer,2024-02-21,"Davidstad, Estonia",3,1,Resigned,Remote,1493640
56,EMP0000057,Claire Martinez,IT,DevOps Engineer,2020-01-17,"Garciaton, Libyan Arab Jamahiriya",5,5,Terminated,Remote,838341
57,EMP0000058,Alexander Mitchell,IT,CTO,2023-11-19,"South Charles, Iran",1,1,Active,On-site,706360
58,EMP0000059,Jessica Ellison,IT,Data Analyst,2015-10-26,"South Mark, Djibouti",3,9,Active,On-site,1153931
59,EMP0000060,Lisa Mcintosh MD,IT,Software Engineer,2016-08-09,"Wrightview, Guernsey",2,9,Active,Remote,1608951
60,EMP0000061,Ross Flores,IT,Software Engineer,2025-03-31,"North Zacharyland, Zambia",2,0,Active,On-site,724230
61,EMP0000062,Kelly Myers,R&D,Product Developer,2022-02-10,"Port Sethtown, Guyana",3,3,Active,On-site,985454
62,EMP0000063,Michael Gomez,IT,Data Analyst,2015-11-08,"Lake Juliestad, Afghanistan",1,9,Active,On-site,641799
63,EMP0000064,Jaime Jackson,Finance,Financial Analyst,2023-11-03,"New Molly, Saint Pierre and Miquelon",3,1,Active,On-site,1439081
64,EMP0000065,Dana Horton,HR,Talent Acquisition Specialist,2024-08-15,"Port Michael, Gabon",2,0,Active,On-site,452360
65,EMP0000066,Christopher Irwin,HR,HR Executive,2016-09-20,"South Toddport, Seychelles",5,8,Resigned,Remote,308469
66,EMP0000067,Ana Simmons,R&D,Research Scientist,2016-09-02,"Lake Jason, Portugal",5,8,Resigned,On-site,776228
67,EMP0000068,Brian Short,Marketing,Marketing Executive,2022-07-18,"West Paul, Slovakia (Slovak Republic)",3,3,Active,On-site,1113271
68,EMP0000069,Diana Combs,IT,Software Engineer,2014-07-23,"South Angelastad, Palestinian Territory",5,11,Resigned,Remote,1136918
69,EMP0000070,Amanda Steele,Sales,Sales Executive,2016-07-10,"Floresborough, Lebanon",3,9,Resigned,On-site,701012
70,EMP0000071,Jason Mueller,IT,Data Analyst,2018-10-11,"Martinton, Paraguay",3,6,Active,Remote,721366
71,EMP0000072,Robert Phillips,Marketing,SEO Specialist,2023-12-11,"Francoburgh, Andorra",5,1,Resigned,On-site,634126
72,EMP0000073,Sara Pham,IT,Data Analyst,2025-05-18,"Castilloport, Tonga",5,0,Active,Remote,777497
73,EMP0000074,Mary Rowland,IT,DevOps Engineer,2019-06-23,"West Markfurt, Albania",3,6,Active,Remote,739400
74,EMP0000075,Anthony Suarez MD,IT,Software Engineer,2021-08-28,"New Christopher, Moldova",1,3,Active,Remote,978030
75,EMP0000076,Kristin Hodges,Marketing,Content Strategist,2015-10-28,"Nelsontown, Anguilla",5,9,Active,On-site,1093462
76,EMP0000077,Elizabeth Brown,R&D,Research Scientist,2024-02-16,"North Rachel, Zimbabwe",1,1,Active,Remote,548919
77,EMP0000078,Scott Harrison,Sales,Sales Executive,2016-05-19,"Susanton, Bermuda",5,9,Retired,Remote,614652
78,EMP0000079,David Chen,IT,Software Engineer,2018-06-26,"Markberg, Turkey",5,7,Active,On-site,616692
79,EMP0000080,Debra Lucas,Operations,Supply Chain Manager,2018-09-05,"South Hayley, Albania",1,6,Active,On-site,683272
80,EMP0000081,Bruce Burns,Finance,Accountant,2025-06-27,"Frostshire, Northern Mariana Islands",4,0,Active,On-site,435627
81,EMP0000082,David Powell,Finance,Accountant,2015-08-29,"Lake Erinmouth, Czech Republic",1,9,Resigned,On-site,552885
82,EMP0000083,Tricia Jimenez,Sales,Business Development Manager,2020-03-29,"South Tyrone, French Guiana",1,5,Resigned,Remote,1608034
83,EMP0000084,Douglas Robinson,IT,DevOps Engineer,2018-05-29,"South Sharonburgh, Burundi",5,7,Active,Remote,1017531
84,EMP0000085,Daniel Singleton,Operations,Operations Director,2025-07-22,"Johnsonland, Saudi Arabia",2,0,Retired,Remote,988534
85,EMP0000086,Scott Sims,IT,Software Engineer,2021-03-28,"Kevintown, Guam",3,4,Active,Remote,665014
86,EMP0000087,Cynthia Dennis,Marketing,SEO Specialist,2016-08-21,"Cheyenneshire, Western Sahara",4,8,Active,On-site,739277
87,EMP0000088,Jennifer Hunt,Marketing,Marketing Executive,2013-09-07,"New Amber, Lithuania",5,11,Active,On-site,811697
88,EMP0000089,Christopher Martin,Marketing,Marketing Executive,2021-12-04,"Jennifershire, Angola",1,3,Resigned,Remote,443930
89,EMP0000090,Donald Barr,Operations,Logistics Coordinator,2018-07-11,"Barrybury, Micronesia",4,7,Active,On-site,878513
90,EMP0000091,Steven Peters,IT,DevOps Engineer,2023-11-26,"Tarabury, Madagascar",5,1,Resigned,Remote,705315
91,EMP0000092,Robert Turner,Finance,Accountant,2025-01-24,"Johnsonview, Saint Kitts and Nevis",5,0,Active,Remote,892717
92,EMP0000093,Kayla Stanton,IT,DevOps Engineer,2018-04-28,"West Christianstad, Guinea",4,7,Resigned,On-site,638924
93,EMP0000094,Melissa Soto,Marketing,Marketing Executive,2012-08-29,"Garciachester, Uzbekistan",4,12,Active,Remote,1171656
94,EMP0000095,Eric Sawyer,IT,Software Engineer,2017-06-17,"West Stephaniechester, Lebanon",3,8,Active,On-site,1729436
95,EMP0000096,Kevin Wilson,IT,Software Engineer,2018-01-25,"North Kevinbury, Yemen",2,7,Active,On-site,1248724
96,EMP0000097,Robert Barton,Marketing,Content Strategist,2018-06-25,"West Rachel, Iceland",4,7,Resigned,On-site,574729
97,EMP0000098,Nicholas Pratt,R&D,Lab Technician,2012-03-31,"Lake Sarahmouth, Saint Pierre and Miquelon",4,13,Active,On-site,1150240
98,EMP0000099,Keith Brown,Operations,Logistics Coordinator,2018-07-17,"East Dana, Gabon",1,7,Active,Remote,724986
99,EMP0000100,Joshua Hall,IT,DevOps Engineer,2025-02-18,"North Melissaburgh, Qatar",3,0,Active,On-site,584045
100,EMP0000101,Johnny Shepard,Finance,Accountant,2023-02-02,"North Briannatown, Cuba",4,2,Terminated,On-site,892140
101,EMP0000102,Brandon Snyder,Finance,Financial Analyst,2017-07-12,"South Mollyton, Tanzania",1,8,Resigned,On-site,1351062
102,EMP0000103,Cesar Morgan,IT,DevOps Engineer,2021-04-16,"Sellersfort, Myanmar",4,4,Active,On-site,654677
103,EMP0000104,Tamara Wilson,Finance,Finance Manager,2023-01-10,"South Stevenmouth, South Georgia and the South Sandwich Islands",2,2,Resigned,On-site,2118072
104,EMP0000105,Dwayne Colon,IT,DevOps Engineer,2021-12-10,"Port Davidbury, South Africa",3,3,Active,On-site,894327
105,EMP0000106,Joseph Green,Sales,Sales Executive,2020-06-13,"Kimberlyside, French Guiana",3,5,Retired,Remote,687405
106,EMP0000107,Gregory Lyons,Marketing,SEO Specialist,2021-01-08,"Hobbsfort, Burkina Faso",1,4,Active,On-site,806908
107,EMP0000108,Traci Norman,Sales,Business Development Manager,2023-11-13,"Floresport, American Samoa",3,1,Active,Remote,1631212
108,EMP0000109,Mrs. Melissa Manning,R&D,Research Scientist,2018-06-02,"West Caleb, Papua New Guinea",5,7,Active,Remote,612751
109,EMP0000110,Robert Cox,Sales,Business Development Manager,2012-10-29,"Nathanside, United Kingdom",4,12,Resigned,On-site,1056152
110,EMP0000111,Christopher Kelly,Sales,Account Manager,2022-08-30,"Gabriellachester, Namibia",5,2,Resigned,On-site,500185
111,EMP0000112,Robert Garrett,Marketing,Marketing Executive,2024-04-05,"North Ericburgh, Libyan Arab Jamahiriya",1,1,Active,On-site,1092065
112,EMP0000113,Joanna Santos,R&D,Product Developer,2024-05-28,"Lake Kayla, Morocco",5,1,Active,Remote,657926
113,EMP0000114,Miguel Williams,Finance,CFO,2018-09-01,"Christopherland, Cook Islands",3,6,Active,Remote,883003
114,EMP0000115,Adam Williams,IT,Software Engineer,2024-04-08,"Donnafort, Uzbekistan",3,1,Active,On-site,1748535
115,EMP0000116,Nicole Arnold,HR,Talent Acquisition Specialist,2013-02-09,"Coxside, Papua New Guinea",4,12,Active,On-site,1132600
116,EMP0000117,Vicki Ritter,IT,Software Engineer,2024-12-20,"Alexandermouth, Cuba",3,0,Active,On-site,620800
117,EMP0000118,Victoria Kelly,HR,HR Manager,2011-06-05,"Christinebury, Tuvalu",2,14,Active,Remote,1122849
118,EMP0000119,James Banks,R&D,Research Scientist,2020-02-25,"East Markborough, Portugal",2,5,Active,Remote,749780
119,EMP0000120,Brooke Parker,Operations,Operations Executive,2020-07-13,"Wardmouth, Saint Lucia",1,5,Resigned,On-site,879087
120,EMP0000121,Michael Jacobs,Sales,Sales Executive,2024-02-22,"New Jeremystad, Latvia",4,1,Resigned,On-site,739283
121,EMP0000122,Vanessa Brown,IT,Data Analyst,2017-08-14,"South Teresa, Liechtenstein",3,8,Terminated,On-site,495474
122,EMP0000123,Cynthia Hanna,Marketing,Marketing Executive,2022-08-08,"Espinozaview, Ethiopia",5,3,Active,Remote,611516
123,EMP0000124,Darren Perez,Operations,Operations Executive,2013-10-26,"North Jeffreytown, Netherlands",2,11,Active,On-site,577474
124,EMP0000125,Sharon Miller,Operations,Operations Executive,2022-02-25,"Katrinatown, Tunisia",2,3,Retired,On-site,1065702
125,EMP0000126,Justin Martinez,IT,Software Engineer,2020-08-29,"Annachester, Niger",3,4,Active,On-site,641082
126,EMP0000127,Emily Palmer,Marketing,Content Strategist,2020-09-23,"Port Brandonfurt, Saint Barthelemy",4,4,Active,Remote,769468
127,EMP0000128,Nicholas Walls,Marketing,SEO Specialist,2019-01-04,"Robertmouth, Tanzania",1,6,Active,On-site,603585
128,EMP0000129,Brandon Boyd,Marketing,Marketing Executive,2016-12-03,"Lake Taylor, Netherlands",5,8,Active,Remote,885407
129,EMP0000130,Natalie Smith,Sales,Account Manager,2023-06-19,"North Jenny, Gibraltar",2,2,Active,On-site,1121437
130,EMP0000131,Vicki Martinez,Operations,Supply Chain Manager,2017-03-31,"Lake Deniseberg, Argentina",3,8,Active,On-site,1026657
131,EMP0000132,James Cordova,Sales,Sales Executive,2021-11-29,"Natashamouth, British Indian Ocean Territory (Chagos Archipelago)",4,3,Active,On-site,704809
132,EMP0000133,Rachel Lopez,IT,Data Analyst,2021-09-18,"Johnsonfort, Bosnia and Herzegovina",3,3,Active,Remote,688633
133,EMP0000134,David Escobar,IT,Software Engineer,2015-08-14,"New Nicholastown, Martinique",1,10,Active,Remote,1346567
134,EMP0000135,Dawn Lyons,IT,Data Analyst,2023-04-13,"South Sandrabury, Nicaragua",3,2,Active,Remote,498316
135,EMP0000136,Shannon Robinson,R&D,Research Scientist,2022-01-31,"Amyton, Antigua and Barbuda",5,3,Active,Remote,522612
136,EMP0000137,David Simmons,Sales,Sales Executive,2014-08-25,"Lake Jennaland, Gabon",5,10,Active,On-site,532749
137,EMP0000138,Mark David,IT,Software Engineer,2017-12-05,"New Annemouth, Honduras",2,7,Resigned,Remote,1654930
138,EMP0000139,Thomas Moore,Sales,Account Manager,2017-07-20,"Lake Saraside, Greenland",1,8,Retired,Remote,765399
139,EMP0000140,Heather Anderson,IT,Software Engineer,2019-02-13,"Hernandezmouth, Lesotho",2,6,Active,On-site,1398194
140,EMP0000141,Robert Lee,Marketing,Content Strategist,2020-11-27,"Jonathanberg, Lesotho",4,4,Resigned,Remote,1035195
141,EMP0000142,Jennifer Harrison,Operations,Operations Executive,2015-10-23,"Mariahchester, American Samoa",5,9,Resigned,Remote,456737
142,EMP0000143,Benjamin Faulkner,R&D,Product Developer,2012-12-08,"Port Jessicamouth, Guinea",1,12,Active,On-site,742655
143,EMP0000144,Jane Mcintyre,IT,IT Manager,2024-09-16,"Housemouth, Guam",4,0,Active,On-site,2194883
144,EMP0000145,Kimberly Thomas,Sales,Account Manager,2021-07-12,"Stuartberg, Cook Islands",5,4,Active,On-site,536360
145,EMP0000146,Charlotte Fox,IT,Software Engineer,2019-03-09,"Masonville, Vanuatu",5,6,Active,Remote,1771742
146,EMP0000147,Jeffery Wilson,Operations,Logistics Coordinator,2017-04-14,"Mitchellberg, Madagascar",2,8,Retired,Remote,505737
147,EMP0000148,Nicholas Parker,R&D,Research Scientist,2020-05-05,"Justinside, Philippines",3,5,Resigned,On-site,570314
148,EMP0000149,Lisa Maxwell,IT,Software Engineer,2023-09-20,"Dominiqueshire, Libyan Arab Jamahiriya",5,1,Active,On-site,1062363
149,EMP0000150,Judy Ramos,Operations,Operations Executive,2023-09-07,"Port Blake, Taiwan",2,1,Retired,On-site,967082
150,EMP0000151,Ronald Wall,Marketing,Marketing Executive,2022-10-19,"Reynoldsside, Spain",1,2,Active,Remote,973327
151,EMP0000152,Connie Brown,Marketing,Marketing Executive,2024-04-30,"Josephburgh, Singapore",5,1,Active,On-site,1038353
152,EMP0000153,George Morales,Finance,Accountant,2013-09-30,"Knoxfort, Dominican Republic",2,11,Active,On-site,716501
153,EMP0000154,Riley Hansen,IT,CTO,2024-05-31,"West Amandaville, Lao People's Democratic Republic",4,1,Active,Remote,802570
154,EMP0000155,Jeremy Taylor,Operations,Operations Executive,2011-01-05,"Stephanieton, Cook Islands",3,14,Active,Remote,961144
155,EMP0000156,Scott Perry,IT,Software Engineer,2019-11-03,"South Adamchester, Liberia",5,5,Resigned,On-site,896063
156,EMP0000157,Taylor Morris,Marketing,SEO Specialist,2011-04-11,"Phamtown, Botswana",4,14,Active,On-site,602165
157,EMP0000158,Kevin Reynolds,Operations,Operations Executive,2018-05-24,"West John, Nepal",2,7,Resigned,On-site,1137477
158,EMP0000159,Brendan Ruiz,Marketing,Marketing Executive,2018-09-22,"South Sarahville, Western Sahara",1,6,Resigned,Remote,551409
159,EMP0000160,Matthew Rodgers,Operations,Operations Executive,2017-09-05,"South Michaelberg, Faroe Islands",3,7,Active,Remote,521674
160,EMP0000161,Tammy Smith,IT,IT Manager,2017-03-13,"Meyerton, Portugal",2,8,Active,Remote,2908256
161,EMP0000162,Dylan Dyer,IT,Software Engineer,2016-02-28,"Port Seth, Finland",2,9,Active,On-site,1110832
162,EMP0000163,Mr. Russell Palmer DDS,IT,Software Engineer,2019-02-01,"South Jimview, French Guiana",2,6,Resigned,Remote,1197783
163,EMP0000164,Paul Ford,IT,Data Analyst,2016-05-20,"North Peggy, Lesotho",1,9,Active,On-site,1155952
164,EMP0000165,Michelle Martin DVM,IT,Software Engineer,2023-05-26,"North Tammy, Vietnam",5,2,Resigned,On-site,1515894
165,EMP0000166,Susan Torres,HR,HR Executive,2016-03-30,"North Gregory, Samoa",3,9,Active,On-site,767144
166,EMP0000167,Jamie Graham,Operations,Supply Chain Manager,2017-01-17,"Lake Gregoryborough, Dominica",4,8,Active,Remote,872882
167,EMP0000168,Lori Hill,Marketing,Brand Manager,2022-02-27,"North Steven, Costa Rica",5,3,Resigned,On-site,511948
168,EMP0000169,Lori Choi,Sales,Sales Executive,2017-01-15,"North Michael, Portugal",3,8,Active,Remote,616410
169,EMP0000170,Catherine Wong,Sales,Sales Executive,2023-06-08,"Port Ronaldville, Guinea",5,2,Active,On-site,541952
170,EMP0000171,Rebecca Kemp,Operations,Supply Chain Manager,2020-10-01,"Byrdhaven, Sri Lanka",3,4,Resigned,On-site,632261
171,EMP0000172,Tara Martinez,IT,IT Manager,2019-07-27,"Zacharymouth, Palestinian Territory",5,6,Active,On-site,2474037
172,EMP0000173,Kathleen Edwards,Sales,Sales Director,2022-02-18,"Michaelland, Guinea",2,3,Active,On-site,953208
173,EMP0000174,Sean Evans,Finance,Finance Manager,2025-04-24,"Bondshire, Israel",3,0,Active,On-site,2380770
174,EMP0000175,Isaiah Mejia,Marketing,Marketing Executive,2023-02-05,"North Gregoryton, Oman",1,2,Active,Remote,950620
175,EMP0000176,Kenneth Taylor,IT,CTO,2025-03-29,"Colinville, British Indian Ocean Territory (Chagos Archipelago)",4,0,Active,On-site,526140
176,EMP0000177,Antonio Gonzalez,Sales,Account Manager,2017-02-08,"West Johnton, Seychelles",2,8,Active,On-site,852342
177,EMP0000178,Tanner Mccormick,Marketing,Content Strategist,2015-12-28,"South Anthony, Tokelau",1,9,Active,On-site,994922
178,EMP0000179,Cassandra Rowland,Finance,Financial Analyst,2020-12-01,"Jennifertown, Palau",2,4,Active,Remote,844254
179,EMP0000180,Cheyenne Hernandez,Operations,Operations Executive,2015-09-08,"East Kristyberg, Congo",1,9,Terminated,On-site,832592
180,EMP0000181,Frank Garcia,Finance,Finance Manager,2024-11-25,"Rosestad, Uzbekistan",1,0,Active,Remote,2244884
181,EMP0000182,Jodi Hill,Operations,Operations Executive,2023-10-12,"East Thomasberg, Kyrgyz Republic",3,1,Active,Remote,1193816
182,EMP0000183,Jason Bell,IT,Software Engineer,2011-09-07,"Ryanview, Denmark",5,13,Resigned,Remote,1434052
183,EMP0000184,Teresa Mills,IT,CTO,2024-03-24,"Moodyland, Syrian Arab Republic",3,1,Resigned,On-site,403320
184,EMP0000185,Bryan Sellers,Finance,Financial Analyst,2020-06-04,"Perrystad, Guadeloupe",2,5,Active,On-site,1314522
185,EMP0000186,Anne Ramirez,Sales,Sales Director,2022-03-30,"Port Angela, Peru",2,3,Active,Remote,563772
186,EMP0000187,Kelly Robinson,Finance,Accountant,2025-01-19,"Dodsonview, Australia",5,0,Active,On-site,529192
187,EMP0000188,Peter Harris,HR,HR Executive,2016-09-30,"Lake David, Moldova",2,8,Terminated,On-site,790535
188,EMP0000189,Christopher Matthews,Sales,Sales Executive,2021-05-18,"New Paulton, Norfolk Island",3,4,Active,On-site,652681
189,EMP0000190,Jeffrey Mullen,IT,Software Engineer,2015-12-09,"East Phillipburgh, Thailand",5,9,Active,On-site,1762025
190,EMP0000191,Alec Fox,Marketing,SEO Specialist,2013-04-27,"Lake Dean, Maldives",1,12,Active,Remote,422034
191,EMP0000192,Beverly Peterson,Operations,Operations Executive,2021-11-08,"Hawkinsfurt, Indonesia",2,3,Resigned,Remote,965645
192,EMP0000193,Gregory Gomez,Marketing,Marketing Executive,2014-12-24,"West Jamesland, Namibia",5,10,Active,On-site,704458
193,EMP0000194,Rebecca Wright,Sales,Sales Executive,2019-04-20,"New Darin, Burundi",1,6,Active,Remote,751030
194,EMP0000195,Joseph Ramos,IT,Software Engineer,2020-04-16,"Reedhaven, New Caledonia",1,5,Active,On-site,1372145
195,EMP0000196,Phillip Perkins,R&D,Lab Technician,2020-04-29,"Smithmouth, Faroe Islands",4,5,Active,Remote,511906
196,EMP0000197,Adam Lane,Operations,Operations Executive,2020-04-14,"East Stephenview, Nepal",4,5,Active,On-site,407565
197,EMP0000198,Keith Jackson,IT,Software Engineer,2013-12-10,"Lake Hannah, Finland",3,11,Active,On-site,1492295
198,EMP0000199,Kyle Moore,IT,Software Engineer,2017-01-10,"Port David, New Zealand",1,8,Resigned,Remote,733357
199,EMP0000200,Raymond Holloway,Operations,Supply Chain Manager,2019-03-23,"Davidburgh, Mexico",1,6,Active,Remote,953595
200,EMP0000201,Christine Sosa,HR,HR Executive,2022-03-27,"North Michelebury, Turks and Caicos Islands",1,3,Active,Remote,756202
201,EMP0000202,Paige Hayden,IT,Software Engineer,2025-03-10,"North Charlesfort, Chad",1,0,Active,On-site,1231567
202,EMP0000203,Eric Mendoza,HR,Talent Acquisition Specialist,2015-08-24,"New John, Oman",1,9,Active,On-site,591822
203,EMP0000204,Donald Hawkins,HR,HR Executive,2021-04-14,"New Catherine, Iraq",3,4,Active,Remote,662559
204,EMP0000205,Holly Harrington,IT,Software Engineer,2020-06-12,"Jeremytown, Wallis and Futuna",4,5,Resigned,On-site,646256
205,EMP0000206,Hannah Baker,IT,Data Analyst,2023-10-18,"Bradleyton, French Guiana",3,1,Resigned,On-site,559033
206,EMP0000207,Jason Jackson,IT,Software Engineer,2020-11-23,"Blackville, Kazakhstan",2,4,Active,On-site,1066166
207,EMP0000208,Jose Baker,IT,IT Manager,2017-03-03,"East Austinville, Argentina",4,8,Resigned,Remote,2648462
208,EMP0000209,Ryan Walker,Finance,Accountant,2013-01-06,"West Jessica, Peru",1,12,Resigned,Remote,501722
209,EMP0000210,Sara Miller,IT,Data Analyst,2014-09-13,"Lake Davidville, Namibia",3,10,Active,Remote,1177212
210,EMP0000211,Sara Rodriguez,IT,Data Analyst,2025-03-23,"Coltonburgh, Ireland",1,0,Active,Remote,924588
211,EMP0000212,George Allen,R&D,Research Scientist,2023-06-19,"Juliechester, Ireland",2,2,Retired,On-site,878317
212,EMP0000213,Brian Jefferson,Sales,Account Manager,2020-02-22,"New Thomas, Tunisia",2,5,Active,On-site,917524
